id,applicant_account_No.,bank_sort_code,age,sex,education_qualifications,income,home_ownership,employment_length,loan_intent,loan_amount,loan_interest_rate,loan_income_ratio,payment_default_on_file,credit_history_length,loan_approval_status,max_loan_amount(allowed),credit_application_acceptance
717474,62012825,090025,21,M,Unknown ,12000,OWN,0,EDUCATION,15000,6.99,0.12,N,4,Approved,-2426900,0
211588,3829308,239285,21,M,Unknown ,13200,OWN,2,EDUCATION,25000,16.77,0.19,Y,3,Approved,-111739,0
597607,79622422,300083,23,M,Unknown ,9600,RENT,5,MEDICAL,30000,12.42,0.31,N,3,Approved,-89000,0
684154,86043250,405179,40,M,Unknown ,182004,RENT,3,EDUCATION,35000,8,0.19,N,11,Approved,35000,0
343369,73510088,300066,40,M,Unknown ,90000,MORTGAGE,3,HOMEIMPROVEMENT,35000,12.42,0.39,N,14,Approved,35000,0
803527,78040195,608312,40,M,Unknown ,131004,MORTGAGE,9,VENTURE,30000,7.9,0.23,N,13,Approved,30000,0
142876,28963792,236078,40,M,Unknown ,150000,MORTGAGE,9,DEBTCONSOLIDATION,25000,11.89,0.17,N,11,Approved,25000,0
146399,69308685,405047,40,M,Unknown ,132000,MORTGAGE,3,HOMEIMPROVEMENT,25000,16.82,0.22,N,17,Approved,25000,0
593612,56095425,165501,40,M,Unknown ,80000,MORTGAGE,2,DEBTCONSOLIDATION,25000,10.25,0.31,N,11,Approved,25000,0
620220,54207305,700603,40,M,Unknown ,80000,MORTGAGE,9,VENTURE,25000,18.67,0.3,N,17,Approved,25000,0
517193,97555026,560075,40,M,Unknown ,60000,OWN,5,VENTURE,25000,11.97,0.42,Y,12,Approved,25000,0
299611,5902700,301495,40,M,Unknown ,85000,MORTGAGE,3,HOMEIMPROVEMENT,25000,12.18,0.29,N,16,Approved,25000,0
617140,16616875,165050,40,M,Unknown ,69996,OWN,19,EDUCATION,25000,18.25,0.36,N,14,Approved,25000,0
531139,87417680,608386,40,M,Unknown ,186996,RENT,18,DEBTCONSOLIDATION,25000,6.99,0.12,N,17,Approved,25000,0
741476,10295167,405056,40,M,Unknown ,120000,MORTGAGE,9,PERSONAL,25000,10.75,0.21,N,12,Approved,25000,0
739775,65974201,165101,40,M,Unknown ,179000,MORTGAGE,7,VENTURE,25000,10.99,0.14,N,17,Approved,25000,0
443458,91338011,609390,40,M,Unknown ,140000,MORTGAGE,2,MEDICAL,24500,11.83,0.17,N,14,Approved,24500,0
334301,58167718,609230,40,M,Unknown ,210000,RENT,1,MEDICAL,24000,10.65,0.11,N,15,Approved,24000,0
965255,82327180,235441,40,M,Unknown ,150000,MORTGAGE,2,PERSONAL,24000,11.83,0.16,N,13,Approved,24000,0
591498,85471867,116701,40,M,Unknown ,170000,MORTGAGE,1,HOMEIMPROVEMENT,21000,14.72,0.12,N,12,Approved,21000,0
633262,96940421,609492,40,M,Unknown ,125000,MORTGAGE,1,PERSONAL,21000,6.99,0.17,N,16,Approved,21000,0
940062,35433336,609587,40,M,Unknown ,120000,OWN,4,DEBTCONSOLIDATION,20000,15.95,0.17,N,15,Approved,20000,0
951347,21178314,200052,40,M,Unknown ,60000,MORTGAGE,13,HOMEIMPROVEMENT,20000,14.54,0.33,N,14,Approved,20000,0
